LOCALITY_NAME,PRICE,PRICE_PER_SQFT,AREA,LATITUDE,LONGITUDE,LOG_PRICE
old panvel,7500000.0,8333.33,900.0,18.98623709,73.10964265,15.830413711839864
oshiwara,43750000.0,35057.63333333333,1195.3333333333333,19.1502437,72.8342294,17.59400219362504
owale,7500000.0,7894.74,950.0,19.2678,72.9549,15.830413711839864
owe village,9500000.0,8543.17,1112.0,19.0718878,73.0757928,16.066802461833923
pale gaon,3375000.0,6399.47,517.0,19.929027,72.7717775,15.03190617858502
pali hill,115800000.0,66277.30600000001,1526.8,19.0649126,72.8270326,18.567375131738746
pali hill bandra west,910000000.0,106060.61,8580.0,19.0649126,72.8270326,20.628955158574072
palm beach,41000000.0,26588.85,1542.0,19.04624605,73.00890969,17.529082649058825
panch pakhadi,18554166.666666668,23847.369166666667,779.4166666666666,19.1955,72.9652,16.736204993840232
panchkutir ganesh nagar,175000000.0,38251.37,4575.0,19.1219,72.9099,18.980296537602072
pandurang wadi,12500000.0,23809.52,525.0,19.17201314,72.85104891,16.341239282272525
pant nagar,11150000.0,20699.135000000002,531.0,19.0833305,72.9115042,16.226950145556497
panvel,10164613.636363637,12012.043295454547,850.2272727272727,18.9910971,73.12058456,16.13442309349109
parel,51471809.52380952,37455.4080952381,1690.9761904761904,19.0084268,72.842505,17.756544847303438
parel east,27000000.0,25714.29,1050.0,18.96997284,72.83248536,17.11134746100564
parsik nagar ,6500000.0,9090.91,715.0,19.2082421,73.010126,15.687312888712007
patlipada,19700000.0,21947.495,864.5,19.2493501,72.9760694,16.796129244469636
peddar road,134250000.0,60825.0,2250.0,18.97537997,72.80907318,18.71521429880204
pirojshanagar,51100000.0,36754.138,1346.0,19.1016734,72.9236504,17.749295074743404
pokharan road,19180000.0,26947.610999999997,706.7,19.23653596,72.9699809,16.769378679557207
pokhran 2,28646875.0,22391.6740625,1223.0625,19.21439975,72.95960779,17.1705549550401
police colony,13000000.0,22807.02,570.0,19.0470382,72.842896,16.380459992348886
poonam gardens,7225000.0,13003.91,580.0,19.2847,72.8719,15.793057930371065
poonam sagar complex,6500000.0,10833.33,600.0,19.272503,72.861148,15.687312888712007
powai,31693220.33898305,29568.879152542373,1146.8813559322034,19.1187195,72.9073476,17.271613378093956
prabhadevi,102704545.45454545,54097.54727272727,1887.0454545454545,19.0074717,72.8358965,18.44736694319396
prathana samaj,41500000.0,51875.0,800.0,18.9572494,72.8195089,17.541204009297314
prem nagar,22500000.0,34615.38,650.0,19.0591872,72.8708902,16.929025911619092
pushpa park,8800000.0,22448.98,392.0,19.1872999,72.8584547,15.990262393084793
pushpak nagar,8324200.0,12639.3425,656.5,19.9765767,73.8310236,15.934677613248818
rabodi,6500000.0,11818.18,550.0,19.2043191,72.98348762,15.687312888712007
raheja vihar,19500000.0,20761.296666666665,1018.3333333333334,19.11916625,72.89512336,16.785925074816024
rajan pada,11000000.0,19469.03,565.0,19.1797,72.8335,16.213405921671733
ram krishna nagar,45000000.0,31034.48,1450.0,19.0737385,72.8390229,17.622173069956816
ranwar,8000000.0,20000.0,400.0,19.0537259,72.8275798,15.894952224644102
rcf colony chembur,9500000.0,17272.73,550.0,19.04153105,72.9019065,16.066802461833923
roadpali,10764818.181818182,10053.298181818182,1213.2727272727273,19.04160165,73.09372971,16.191793891781025
rohinjan,6117333.333333333,13092.769999999999,466.6666666666667,19.08667998,73.0794569155,15.626636993153088
sagaon,5250000.0,9382.24,539.5,19.190974,73.093028,15.473738825043979
sahar road,24166666.666666668,28454.318888888887,845.3333333333334,19.11124382,72.85314175,17.000484872536102
sai nagar,6600000.0,6000.0,1100.0,19.1490182,72.9257057,15.702580358511794
sai wadi,34000000.0,25660.38,1325.0,18.9545905,72.8208444,17.341871111992198
